ID,Name,Wins,Battles,Cards,LiveCol,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10
RGG8LY9,"Luan Gasparetto",3,4,4247,680;1;3,1487;0;1,;;,;;,;;,;;,;;,;;,480;1;1,960;1;1,640;1;1
Q00VL92C,"LuannSDS",5,11,9290,640;1;3,840;1;1,1120;0;1,850;0;1,1680;0;1,800;0;1,800;0;1,640;1;1,480;1;1,640;2;2,800;0;1
88R2VG9C,"Lucifer",2,4,4275,340;1;1,;;,;;,680;0;0,595;0;1,680;0;1,1020;1;1,;;,;;,960;1;1,;;
2YCV980VJ,"LuiizBilarrada",3,8,8280,960;3;3,1680;0;1,840;0;1,800;0;1,1120;0;1,960;1;1,480;1;1,800;1;1,640;0;1,;;,;;
QUURCCPP,"Luis Henrique",1,2,1920,;;,;;,;;,;;,;;,;;,;;,;;,;;,960;1;1,960;0;1
92VJ98Q,"Luke Skywalker",6,10,10841,510;0;3,1487;1;1,1487;1;1,850;1;1,1487;0;1,1020;1;1,800;1;1,800;0;1,640;0;1,960;0;1,800;1;1
2RG80VQ8G,"MATEUS™",1,1,800,;;,;;,;;,;;,;;,;;,;;,;;,;;,;;,800;1;1
8Y0VL9C,"Miinero",5,6,5467,680;1;3,;;,1487;2;2,;;,;;,680;1;1,1020;0;1,;;,;;,640;1;1,960;1;1
8VCVYY0U,"P.E.K.K.A 22",0,0,1120,;;,;;,;;,;;,1120;0;0,;;,;;,;;,;;,;;,;;
P0GVVY2G,"Palitovsk",10,11,8826,;;,1190;1;1,1487;2;2,1020;1;1,1189;2;2,850;0;1,;;,850;1;1,640;1;1,960;1;1,640;1;1
28Y220CQC,"Paulo",6,9,8773,170;0;1,1487;1;1,1189;0;1,1020;1;1,1487;1;1,170;1;1,850;0;1,800;1;1,960;1;1,640;0;1,;;
Y8VYG9,"Pedinho",4,6,4320,;;,;;,;;,680;0;1,;;,1020;1;1,680;0;1,;;,340;1;1,960;1;1,640;1;1
2GV8JR28,"Pedro~`",6,11,10440,680;1;3,1400;0;1,1680;1;2,480;1;1,1400;0;1,800;0;1,640;1;1,960;1;1,800;0;1,960;1;1,640;1;1
RCUJ22PY,"R U B Ã O ⭐",5,6,6037,;;,;;,1487;0;1,680;1;1,;;,510;0;0,800;1;1,960;1;1,;;,800;1;1,800;1;1
20CC8GCQ,"Ra&#039;s Al Ghul",2,2,810,;;,;;,;;,;;,;;,;;,;;,;;,;;,540;1;1,270;1;1
22PGLG0GR,"RAGNER...?",2,3,1715,;;,;;,;;,;;,595;0;1,;;,;;,;;,;;,800;1;1,320;1;1
YJC9R20L,"Restivo™Pro",0,0,1020,;;,;;,;;,;;,;;,1020;0;0,;;,;;,;;,;;,;;
GJQV0QPP,"ribas",6,10,10593,510;0;3,1487;1;1,1487;0;1,680;0;1,1189;0;1,800;1;1,1020;1;1,1020;1;1,800;1;1,640;0;1,960;1;1
2PRQLVQUP,"richard10",8,10,9957,510;0;3,1487;0;1,1120;0;1,800;1;1,1400;1;1,800;1;1,800;1;1,800;1;1,800;1;1,800;1;1,640;1;1
9RQV8UUC,"rubens poha",5,8,8080,640;1;3,1400;1;1,;;,;;,1400;0;1,800;1;1,480;0;1,800;1;1,960;0;1,960;1;1,640;1;1
PPPYGYCV,"Snoop Player",4,9,8274,680;1;3,1487;1;2,1190;0;1,510;1;1,1487;0;1,680;0;1,;;,;;,480;0;1,800;1;1,960;1;1
8LLQULQ2L,"Suco-De-Limão",1,5,4160,;;,;;,;;,;;,1120;0;1,800;0;1,800;0;1,;;,800;1;1,640;0;1,;;
RY2RG2G8,"Temponi",0,1,1487,;;,;;,1487;0;1,;;,;;,;;,;;,;;,;;,;;,;;
C08R2Q,"THIAG_0",7,12,10147,680;1;3,1189;0;2,1487;0;1,850;0;1,891;0;1,680;1;1,850;2;2,960;1;1,960;1;1,800;1;1,800;1;1
2GPLG8R0Q,"Tiago Pirelli",3,11,6602,;;,1487;0;2,1785;1;2,;;,280;0;2,650;1;1,160;0;0,320;0;1,800;0;1,640;1;1,480;0;1
8LYQ988R,"Tridade Br",1,1,1440,;;,;;,;;,;;,;;,;;,;;,640;0;0,800;1;1,;;,;;
9VG0PVG2,"Tuisao",0,1,800,;;,;;,;;,;;,;;,;;,;;,;;,;;,800;0;1,;;
PLGGRVUG,"Vingador",6,9,9092,1020;3;3,1400;1;1,1785;0;1,680;0;1,1487;1;2,800;1;1,640;1;1,800;1;1,480;1;1,;;,;;
CJQ89U,"XxGabrielxX™",6,9,6814,;;,1487;0;1,;;,;;,1487;0;1,640;0;1,640;1;1,800;1;1,480;1;1,640;1;1,640;2;2
200C2282R,"zehooo",0,0,480,;;,;;,;;,;;,;;,;;,;;,;;,;;,480;0;0,;;
VY0LLGJ,"~Criss⚡Daniels~",2,3,2149,;;,;;,1189;1;2,960;1;1,;;,;;,;;,;;,;;,;;,;;
200YJP0V,"☄ Dodoo ⚓️",3,4,4480,;;,;;,;;,;;,1120;0;0,640;0;1,800;1;1,960;1;1,960;1;1,;;,;;
29PGJLUGG,"♋Mestre Kame♋",1,3,4680,640;1;3,1680;0;1,1400;0;1,960;1;1,;;,;;,;;,;;,;;,;;,;;
RLUJ2LCP,"♠manigold♦",0,3,2539,;;,1189;0;1,840;0;1,510;0;1,;;,;;,;;,;;,;;,;;,;;
CQ2VLQGL,"⚔HUGO CR⚔",0,3,2589,;;,1400;0;2,1189;0;1,;;,;;,;;,;;,;;,;;,;;,;;
9GCC9LR0,"⚡️Urubu ©®⚡️",3,6,4000,;;,;;,;;,;;,;;,480;0;1,640;0;1,800;0;1,640;1;1,800;1;1,640;1;1
