ID,Name,Wins,Battles,Cards,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10
2YCV980VJ,"LuiizBilarrada",3,7,5640,840;0;1,800;0;1,1120;0;1,960;1;1,480;1;1,800;1;1,640;0;1,;;,;;,;;
PUG98VQV,"Guilherme_9",4,9,6899,;;,1020;1;1,1189;0;1,850;1;1,640;0;2,800;1;1,800;1;1,960;0;1,;;,640;0;1
R28CUV8,"DUNHA",1,1,1020,;;,1020;1;1,;;,;;,;;,;;,;;,;;,;;,;;
LVYQGLUR,"IKillerEND",4,9,6720,;;,800;0;1,1120;0;2,;;,640;0;1,960;0;1,640;1;1,800;1;1,800;1;1,960;1;1
Y8VYG9,"Pedinho",5,7,4960,;;,680;0;1,;;,1020;1;1,680;0;1,;;,340;1;1,960;1;1,640;1;1,640;1;1
88R2VG9C,"Lucifer",3,5,4575,;;,680;0;0,595;0;1,680;0;1,1020;1;1,;;,;;,960;1;1,;;,640;1;1
89RUGR8QR,"cão de inferno",1,1,1280,;;,480;0;0,;;,;;,;;,;;,;;,800;1;1,;;,;;
8L8RU9Y8,"klotz",6,6,5170,;;,;;,1120;1;1,850;1;1,;;,960;1;1,640;1;1,800;1;1,;;,800;1;1
CJQ89U,"XxGabrielxX™",7,9,6127,;;,;;,1487;0;1,640;0;1,640;1;1,800;1;1,480;1;1,640;1;1,640;2;2,800;1;1
9RQV8UUC,"rubens poha",4,8,7000,;;,;;,1400;0;1,800;1;1,480;0;1,800;1;1,960;0;1,960;1;1,640;1;1,960;0;1
2PV0VYGLV,"Be Happy",2,5,4760,;;,;;,1400;0;1,960;1;1,960;0;1,800;1;1,640;0;1,;;,;;,;;
Y99VJLC0,"eduroam",2,5,3200,;;,;;,1120;0;2,800;0;1,800;1;1,480;1;1,;;,;;,;;,;;
200YJP0V,"☄ Dodoo ⚓️",3,4,4480,;;,;;,1120;0;0,640;0;1,800;1;1,960;1;1,960;1;1,;;,;;,;;
8VCVYY0U,"P.E.K.K.A 22",0,0,1120,;;,;;,1120;0;0,;;,;;,;;,;;,;;,;;,;;
8LLQULQ2L,"Suco-De-Limão",1,5,4160,;;,;;,1120;0;1,800;0;1,800;0;1,;;,800;1;1,640;0;1,;;,;;
2QL9UJ80C,"charlys ✌️",1,3,2600,;;,;;,840;0;1,;;,800;0;1,960;1;1,;;,;;,;;,;;
8YGYLRLJ,"dianadisrd",6,9,6120,;;,;;,840;0;2,480;1;1,800;1;1,640;1;1,800;1;1,800;1;1,960;1;1,800;0;1
22PGLG0GR,"RAGNER...?",3,4,2355,;;,;;,595;0;1,;;,;;,;;,;;,800;1;1,320;1;1,640;1;1
YJC9R20L,"Restivo™Pro",0,0,1020,;;,;;,;;,1020;0;0,;;,;;,;;,;;,;;,;;
9GCC9LR0,"⚡️Urubu ©®⚡️",3,7,4800,;;,;;,;;,480;0;1,640;0;1,800;0;1,640;1;1,800;1;1,640;1;1,800;0;1
J9YQ8C,"$Maycon$",4,6,4320,;;,;;,;;,;;,640;0;1,800;0;1,800;1;1,800;1;1,640;1;1,640;1;1
22GJUY9P,"D. Vinícius",0,1,960,;;,;;,;;,;;,;;,960;0;1,;;,;;,;;,;;
8LYQ988R,"Tridade Br",1,1,1440,;;,;;,;;,;;,;;,640;0;0,800;1;1,;;,;;,;;
QCJ8PY9P,"Lord_THIaGO",3,4,2720,;;,;;,;;,;;,;;,;;,640;1;1,640;0;1,800;1;1,640;1;1
28VYCC0P,"Gellones",2,2,1600,;;,;;,;;,;;,;;,;;,640;1;1,960;1;1,;;,;;
RGG8LY9,"Luan Gasparetto",4,4,3040,;;,;;,;;,;;,;;,;;,480;1;1,960;1;1,640;1;1,960;1;1
9R0P0JQV,"Bill Clinton",3,4,2720,;;,;;,;;,;;,;;,;;,480;1;2,800;1;1,800;0;0,640;1;1
QUURCCPP,"Luis Henrique",1,2,1920,;;,;;,;;,;;,;;,;;,;;,960;1;1,960;0;1,;;
2P2Y9P8P,"%MITINHOOONUB%",2,3,2240,;;,;;,;;,;;,;;,;;,;;,640;1;1,800;1;1,800;0;1
20CC8GCQ,"Ra&#039;s Al Ghul",3,3,1170,;;,;;,;;,;;,;;,;;,;;,540;1;1,270;1;1,360;1;1
9VCG2V8,"Grizzo",0,1,1600,;;,;;,;;,;;,;;,;;,;;,960;0;0,640;0;1,;;
9VG0PVG2,"Tuisao",0,2,1440,;;,;;,;;,;;,;;,;;,;;,800;0;1,;;,640;0;1
200C2282R,"zehooo",1,1,1280,;;,;;,;;,;;,;;,;;,;;,480;0;0,;;,800;1;1
2RG80VQ8G,"MATEUS™",1,2,1600,;;,;;,;;,;;,;;,;;,;;,;;,800;1;1,800;0;1
Q89YJCC2,"KOT HACKERCLASH",2,3,1600,;;,;;,;;,;;,;;,;;,;;,;;,960;0;1,640;2;2
PPJ2LUVY,"DAVID-BR",1,1,960,;;,;;,;;,;;,;;,;;,;;,;;,;;,960;1;1
J2QGQ09V,"Fujiroo",1,1,800,;;,;;,;;,;;,;;,;;,;;,;;,;;,800;1;1
2L0RCLG2P,"CChalegre",1,1,640,;;,;;,;;,;;,;;,;;,;;,;;,;;,640;1;1
289YL8PP,"jefferson",1,2,640,;;,;;,;;,;;,;;,;;,;;,;;,;;,640;1;2
2PPVUR0QV,"AyonGamer",0,1,640,;;,;;,;;,;;,;;,;;,;;,;;,;;,640;0;1
P8YR809,"Vinny",0,0,480,;;,;;,;;,;;,;;,;;,;;,;;,;;,480;0;0
